strategy,corpusSize,query,expectedDocId,expectedPresent,sourceHit,activeLayer,durationMs,faithfulness,relevancy
embedding-only,1,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,0,0,2,381,0,0
embedding-only,1,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,0,0,2,162,0,0
embedding-only,3,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,2,771,0.8,0.6
embedding-only,3,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,0,0,2,161,0,0
embedding-only,3,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,0,0,2,174,0,0
embedding-only,5,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,2,1125,0.8,0.6
embedding-only,5,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,0,0,2,423,0,0
embedding-only,5,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,0,0,2,185,0,0
embedding-only,10,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,2,467,0.8,0.6
embedding-only,10,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,2,162,1,1
embedding-only,10,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,2,188,1,1
embedding-only,15,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,2,530,0.8,0.6
embedding-only,15,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,2,162,1,1
embedding-only,15,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,2,295,1,1
embedding-only,20,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,2,2545,0.7,0.5
embedding-only,20,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,2,405,1,1
embedding-only,20,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,2,170,1,1
embedding-only,25,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,2,730,0.7,0.5
embedding-only,25,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,2,190,1,1
embedding-only,25,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,2,230,1,1
embedding-only,30,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,2,554,0.7,0.5
embedding-only,30,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,2,188,1,1
embedding-only,30,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,2,161,1,1
rag-only,1,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,3,2297,1,1
rag-only,1,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,0,0,3,825,0,0
rag-only,1,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,0,0,3,1438,0,0
rag-only,3,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,3,2560,1,1
rag-only,3,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,0,0,3,1680,0,0
rag-only,3,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,0,0,3,815,0,0
rag-only,5,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,3,1990,1,1
rag-only,5,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,0,0,3,1000,0,0
rag-only,5,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,0,0,3,1639,0,0
rag-only,10,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,3,2942,1,1
rag-only,10,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,3,2417,1,1
rag-only,10,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,3,1090,1,1
rag-only,15,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,3,3173,1,1
rag-only,15,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,3,2363,1,1
rag-only,15,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,3,1213,1,1
rag-only,20,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,3,3077,1,1
rag-only,20,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,3,2148,1,1
rag-only,20,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,3,1158,1,1
rag-only,25,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,3,2988,1,1
rag-only,25,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,3,2898,1,1
rag-only,25,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,3,1006,1,1
rag-only,30,"Çevik yazılım geliştirmede sprint teslimatları nasıl işler?",doc-001,1,1,3,2986,1,1
rag-only,30,"Teknik borç nedir ve nasıl yönetilmelidir?",doc-009,1,1,3,2216,1,1
rag-only,30,"Mikroservis mimarisinde servisler arası iletişim nasıl olur?",doc-006,1,1,3,1244,1,1
